序号,主修专业,GPA分段,挂科门数,奖学金级别,四六级成绩,计算机等级,双学位辅修,实习类型,实习企业规模,实习岗位相关性,岗位类型,岗位名称,起薪
605,自动化,3.5+,0,校奖,581 (通过),三级,无,毕业实习,中小型企业,完全相关,非技术岗,项目协调员,12000
606,软件工程,3.5+,0,无,571 (通过),四级,无,暑期实习,中小型企业,完全相关,技术岗,算法工程师,14000
607,信息安全,3.0-3.5,0,校奖,421 (未通过),三级,无,日常实习,独角兽企业,完全相关,技术岗,算法工程师,13500
608,自动化,3.5+,0,校奖,608 (通过),三级,无,日常实习,中小型企业,部分相关,技术岗,自动化控制师,12500
609,计算机科学与技术,2.0-3.0,0,无,382 (未通过),三级,无,日常实习,上市科技公司,部分相关,技术岗,软件开发工程师,13000
610,金融学,3.5+,0,省奖,484 (通过),无,心理学,暑期实习,创业公司,完全相关,技术岗,财务分析师,10500
611,材料工程,2.0-3.0,1,无,452 (通过),二级,无,暑期实习,国企,部分相关,技术岗,结构工程师,10500
612,汉语言文学,2.0-3.0,1,无,300 (未通过),无,无,日常实习,事业单位,完全相关,非技术岗,教育培训,8000
613,金融学,3.0-3.5,0,无,512 (通过),二级,无,日常实习,金融机构,无关,技术岗,财务分析师,10500
614,软件工程,3.0-3.5,0,无,493 (通过),三级,无,日常实习,独角兽企业,完全相关,技术岗,系统架构师,12500
615,新闻学,3.5+,0,校奖,583 (通过),无,经济学,毕业实习,事业单位,部分相关,非技术岗,教育培训,8500
616,工商管理,2.0-3.0,0,无,398 (未通过),无,心理学,暑期实习,外资企业,完全相关,技术岗,量化研究员,11000
617,工商管理,2.0-3.0,1,无,300 (未通过),无,无,毕业实习,创业公司,完全相关,技术岗,量化研究员,11500
618,软件工程,3.0-3.5,0,无,479 (通过),四级,无,暑期实习,上市科技公司,完全相关,非技术岗,产品经理,13000
619,通信工程,3.0-3.5,0,无,525 (通过),三级,无,日常实习,行业龙头,无关,技术岗,通信工程师,11000
620,计算机科学与技术,3.5+,0,无,544 (通过),三级,无,毕业实习,世界500强,完全相关,非技术岗,IT项目经理,15500
621,自动化,3.0-3.5,0,省奖,535 (通过),三级,无,毕业实习,央企,完全相关,非技术岗,项目协调员,12000
622,机械工程,2.0-3.0,0,无,339 (未通过),二级,无,日常实习,民营企业,无关,技术岗,机械设计师,11000
623,市场营销,3.5+,0,校奖,514 (通过),二级,无,暑期实习,金融机构,完全相关,技术岗,量化研究员,12000
624,软件工程,2.0-3.0,0,无,426 (通过),三级,无,日常实习,世界500强,完全相关,技术岗,系统架构师,15500
625,电子工程,3.0-3.5,0,省奖,521 (通过),三级,无,暑期实习,中小型企业,完全相关,非技术岗,技术顾问,12000
626,自动化,3.0-3.5,0,无,581 (通过),三级,无,暑期实习,中小型企业,完全相关,技术岗,通信工程师,12000
627,金融学,2.0-3.0,1,无,300 (未通过),无,无,日常实习,四大会计师事务所,部分相关,技术岗,财务分析师,10500
628,材料工程,3.0-3.5,0,无,455 (通过),二级,无,日常实习,央企,无关,非技术岗,生产主管,10500
629,材料工程,3.0-3.5,0,校奖,549 (通过),二级,无,暑期实习,国企,部分相关,技术岗,结构工程师,10500
630,通信工程,3.5+,0,校奖,587 (通过),二级,无,日常实习,研究院所,无关,非技术岗,技术顾问,11500
631,会计学,3.5+,0,国奖,579 (通过),二级,无,毕业实习,金融机构,完全相关,非技术岗,供应链管理,11500
632,计算机科学与技术,3.0-3.5,0,无,479 (通过),三级,金融学,毕业实习,上市科技公司,部分相关,技术岗,软件开发工程师,13000
633,软件工程,3.0-3.5,0,无,541 (通过),三级,无,毕业实习,独角兽企业,部分相关,非技术岗,技术销售,13500
634,人工智能,3.5+,0,省奖,652 (通过),三级,无,暑期实习,独角兽企业,部分相关,技术岗,算法工程师,16000
635,会计学,3.0-3.5,0,无,388 (未通过),二级,无,日常实习,四大会计师事务所,完全相关,技术岗,量化研究员,10500
636,会计学,2.0-3.0,1,无,386 (未通过),二级,法学,毕业实习,外资企业,部分相关,非技术岗,市场营销专员,10500
637,软件工程,3.0-3.5,0,校奖,517 (通过),四级,无,日常实习,世界500强,部分相关,技术岗,数据分析师,15500
638,计算机科学与技术,3.5+,0,国奖,616 (通过),三级,数学,毕业实习,上市科技公司,完全相关,非技术岗,IT项目经理,14500
639,机械工程,3.5+,0,校奖,539 (通过),二级,无,毕业实习,国企,完全相关,技术岗,机械设计师,10500
640,会计学,2.0-3.0,1,无,443 (通过),无,计算机科学,毕业实习,创业公司,完全相关,技术岗,量化研究员,11000
641,计算机科学与技术,3.0-3.5,0,无,485 (通过),三级,无,毕业实习,上市科技公司,完全相关,技术岗,系统架构师,14000
642,材料工程,2.0-3.0,0,无,401 (未通过),三级,无,日常实习,央企,部分相关,技术岗,结构工程师,10500
643,工商管理,2.0-3.0,0,无,310 (未通过),无,计算机科学,日常实习,外资企业,完全相关,非技术岗,HRBP,11000
644,新闻学,3.0-3.5,0,校奖,530 (通过),无,无,日常实习,教育机构,完全相关,技术岗,其他,7500
645,机械工程,2.0-3.0,1,无,464 (通过),二级,工商管理,暑期实习,央企,完全相关,技术岗,材料研发员,10000
646,人工智能,3.5+,0,无,610 (通过),三级,无,日常实习,独角兽企业,部分相关,技术岗,数据分析师,13500
647,会计学,2.0-3.0,0,无,484 (通过),二级,无,日常实习,外资企业,完全相关,非技术岗,HRBP,10500
648,软件工程,3.0-3.5,0,无,446 (通过),三级,无,毕业实习,世界500强,部分相关,技术岗,数据分析师,14500
649,通信工程,3.5+,0,省奖,517 (通过),三级,无,暑期实习,央企,完全相关,技术岗,电子工程师,12500
650,材料工程,3.0-3.5,0,无,441 (通过),二级,无,日常实习,央企,部分相关,非技术岗,质量检测员,9000
651,会计学,2.0-3.0,1,无,355 (未通过),二级,计算机科学,日常实习,外资企业,部分相关,技术岗,量化研究员,10500
652,金融学,2.0-3.0,0,无,397 (未通过),二级,无,日常实习,外资企业,部分相关,技术岗,量化研究员,11000
653,自动化,3.0-3.5,0,校奖,493 (通过),三级,无,日常实习,央企,完全相关,非技术岗,技术顾问,12500
654,市场营销,3.0-3.5,0,无,522 (通过),无,无,暑期实习,创业公司,部分相关,技术岗,财务分析师,11500
655,软件工程,2.0-3.0,0,无,452 (通过),三级,无,日常实习,世界500强,完全相关,技术岗,系统架构师,13500
656,材料工程,3.5+,0,校奖,510 (通过),三级,无,暑期实习,央企,完全相关,非技术岗,质量检测员,11000
657,自动化,3.0-3.5,0,无,519 (通过),三级,无,日常实习,央企,完全相关,技术岗,通信工程师,12000
658,计算机科学与技术,3.0-3.5,0,无,507 (通过),三级,无,暑期实习,独角兽企业,部分相关,非技术岗,产品经理,14500
659,机械工程,3.5+,0,无,522 (通过),三级,无,暑期实习,央企,完全相关,技术岗,材料研发员,9000
660,通信工程,3.0-3.5,0,无,536 (通过),二级,无,暑期实习,央企,完全相关,技术岗,自动化控制师,12500
661,电子工程,3.0-3.5,0,省奖,499 (通过),三级,无,毕业实习,央企,完全相关,技术岗,通信工程师,12000
662,计算机科学与技术,2.0-3.0,0,无,404 (未通过),四级,无,日常实习,独角兽企业,完全相关,非技术岗,技术销售,14500
663,会计学,3.0-3.5,0,无,448 (通过),二级,无,暑期实习,外资企业,部分相关,技术岗,财务分析师,11500
664,机械工程,3.5+,0,校奖,576 (通过),二级,无,毕业实习,民营企业,部分相关,技术岗,结构工程师,10500
665,信息安全,2.0-3.0,1,无,450 (通过),三级,无,日常实习,世界500强,部分相关,技术岗,数据分析师,15000
666,通信工程,3.5+,0,省奖,689 (通过),二级,无,暑期实习,行业龙头,完全相关,技术岗,通信工程师,12500
667,英语,3.5+,0,国奖,520 (通过),无,无,暑期实习,传媒机构,无关,技术岗,其他,8500
668,工商管理,3.5+,0,国奖,576 (通过),二级,无,毕业实习,四大会计师事务所,完全相关,非技术岗,市场营销专员,11500
669,工商管理,2.0-3.0,0,无,300 (未通过),二级,无,暑期实习,四大会计师事务所,部分相关,技术岗,财务分析师,11500
670,电子工程,3.5+,0,无,540 (通过),三级,无,日常实习,行业龙头,完全相关,非技术岗,技术顾问,13000
671,软件工程,3.5+,0,省奖,591 (通过),四级,无,毕业实习,世界500强,完全相关,非技术岗,技术销售,14500
672,软件工程,3.0-3.5,0,校奖,503 (通过),三级,数学,暑期实习,上市科技公司,完全相关,非技术岗,产品经理,12500
673,计算机科学与技术,3.5+,0,校奖,556 (通过),四级,无,毕业实习,独角兽企业,完全相关,技术岗,算法工程师,14500
674,会计学,2.0-3.0,1,无,372 (未通过),二级,无,暑期实习,四大会计师事务所,完全相关,技术岗,财务分析师,10500
675,软件工程,3.0-3.5,0,无,608 (通过),四级,无,日常实习,中小型企业,部分相关,技术岗,软件开发工程师,14000
676,机械工程,3.5+,0,无,526 (通过),二级,无,毕业实习,外企,部分相关,技术岗,结构工程师,10500
677,计算机科学与技术,3.0-3.5,0,校奖,566 (通过),三级,无,日常实习,中小型企业,完全相关,非技术岗,技术销售,13500
678,人工智能,3.0-3.5,0,无,469 (通过),三级,金融学,暑期实习,上市科技公司,完全相关,技术岗,算法工程师,14500
679,土木工程,2.0-3.0,0,无,398 (未通过),二级,无,日常实习,央企,完全相关,技术岗,机械设计师,10000
680,英语,2.0-3.0,1,无,391 (未通过),一级,新媒体,日常实习,传媒机构,完全相关,技术岗,其他,8000
681,信息安全,3.0-3.5,0,无,470 (通过),三级,电子工程,暑期实习,中小型企业,完全相关,技术岗,软件开发工程师,13500
682,新闻学,3.5+,0,无,543 (通过),无,无,暑期实习,教育机构,完全相关,技术岗,其他,8000
683,软件工程,3.0-3.5,0,无,491 (通过),三级,数学,毕业实习,上市科技公司,完全相关,非技术岗,产品经理,13500
684,信息安全,3.5+,0,省奖,543 (通过),三级,无,毕业实习,独角兽企业,无关,技术岗,数据分析师,13000
685,机械工程,3.0-3.5,0,无,442 (通过),二级,工商管理,日常实习,国企,完全相关,非技术岗,质量检测员,9500
686,计算机科学与技术,2.0-3.0,0,无,300 (未通过),三级,无,暑期实习,上市科技公司,完全相关,非技术岗,产品经理,13500
687,计算机科学与技术,3.5+,0,校奖,564 (通过),三级,金融学,毕业实习,中小型企业,完全相关,技术岗,数据分析师,15000
688,土木工程,3.5+,0,国奖,598 (通过),二级,无,暑期实习,民营企业,无关,非技术岗,质量检测员,12000
689,信息安全,3.0-3.5,0,无,442 (通过),三级,无,毕业实习,中小型企业,完全相关,技术岗,数据分析师,14000
690,会计学,3.0-3.5,0,无,508 (通过),二级,法学,毕业实习,金融机构,无关,技术岗,量化研究员,11000
691,自动化,3.5+,0,国奖,631 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,自动化控制师,12000
692,计算机科学与技术,3.0-3.5,0,无,597 (通过),四级,无,日常实习,世界500强,完全相关,技术岗,系统架构师,14500
693,计算机科学与技术,2.0-3.0,0,无,472 (通过),三级,无,毕业实习,中小型企业,无关,非技术岗,IT项目经理,13500
694,土木工程,3.5+,0,校奖,539 (通过),三级,无,日常实习,央企,部分相关,技术岗,结构工程师,10000
695,人工智能,3.5+,0,无,594 (通过),四级,数学,毕业实习,上市科技公司,完全相关,技术岗,数据分析师,14000
696,新闻学,3.5+,0,校奖,531 (通过),一级,无,毕业实习,事业单位,完全相关,技术岗,其他,8500
697,人工智能,2.0-3.0,0,无,442 (通过),四级,无,毕业实习,独角兽企业,完全相关,技术岗,算法工程师,13000
698,金融学,2.0-3.0,1,无,407 (未通过),二级,无,暑期实习,外资企业,无关,技术岗,量化研究员,10500
699,计算机科学与技术,2.0-3.0,1,无,427 (通过),三级,金融学,日常实习,上市科技公司,完全相关,非技术岗,产品经理,15000
700,会计学,3.0-3.5,0,无,597 (通过),二级,无,日常实习,创业公司,无关,非技术岗,供应链管理,10500
701,软件工程,2.0-3.0,0,无,511 (通过),三级,无,暑期实习,上市科技公司,完全相关,技术岗,系统架构师,13500
702,软件工程,3.0-3.5,0,省奖,504 (通过),三级,无,日常实习,中小型企业,无关,技术岗,软件开发工程师,13500
703,英语,3.0-3.5,0,无,466 (通过),无,新媒体,日常实习,传媒机构,完全相关,非技术岗,内容运营,7500
704,会计学,2.0-3.0,0,无,405 (未通过),二级,无,暑期实习,金融机构,完全相关,技术岗,财务分析师,10000
705,英语,2.0-3.0,0,无,459 (通过),无,无,日常实习,教育机构,部分相关,技术岗,其他,8000
706,自动化,3.0-3.5,0,无,536 (通过),三级,无,日常实习,研究院所,部分相关,技术岗,自动化控制师,11500
707,信息安全,3.5+,0,无,502 (通过),四级,无,日常实习,独角兽企业,无关,非技术岗,技术销售,13000
708,电子工程,3.5+,0,无,511 (通过),二级,无,暑期实习,行业龙头,完全相关,技术岗,通信工程师,12000
709,市场营销,3.0-3.5,0,无,486 (通过),二级,无,日常实习,外资企业,无关,技术岗,财务分析师,11000
710,会计学,2.0-3.0,0,无,413 (未通过),二级,计算机科学,毕业实习,外资企业,完全相关,非技术岗,市场营销专员,11000
711,材料工程,2.0-3.0,0,无,391 (未通过),三级,工商管理,毕业实习,民营企业,完全相关,技术岗,机械设计师,10000
712,人工智能,3.5+,0,无,516 (通过),三级,无,暑期实习,上市科技公司,完全相关,技术岗,软件开发工程师,14500
713,市场营销,2.0-3.0,0,无,411 (未通过),二级,计算机科学,毕业实习,创业公司,部分相关,技术岗,量化研究员,11500
714,计算机科学与技术,3.0-3.5,0,校奖,459 (通过),四级,数学,毕业实习,上市科技公司,完全相关,技术岗,算法工程师,13000
715,自动化,3.0-3.5,0,无,471 (通过),三级,无,日常实习,行业龙头,无关,技术岗,通信工程师,13000
716,土木工程,3.5+,0,省奖,505 (通过),三级,无,暑期实习,国企,完全相关,非技术岗,质量检测员,10500
717,人工智能,2.0-3.0,0,无,372 (未通过),四级,无,暑期实习,独角兽企业,完全相关,技术岗,数据分析师,12000
718,自动化,3.5+,0,校奖,513 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,通信工程师,11500
719,软件工程,2.0-3.0,0,无,401 (未通过),三级,无,日常实习,中小型企业,完全相关,技术岗,数据分析师,12500
720,计算机科学与技术,3.0-3.5,0,无,397 (未通过),三级,数学,暑期实习,独角兽企业,完全相关,技术岗,系统架构师,14000
721,材料工程,2.0-3.0,0,无,334 (未通过),三级,无,毕业实习,央企,完全相关,非技术岗,质量检测员,10000
722,会计学,3.0-3.5,0,无,463 (通过),二级,无,毕业实习,创业公司,部分相关,技术岗,财务分析师,10000
723,自动化,3.0-3.5,0,无,477 (通过),三级,无,日常实习,行业龙头,部分相关,非技术岗,项目协调员,12500
724,人工智能,3.5+,0,省奖,578 (通过),三级,无,毕业实习,中小型企业,完全相关,技术岗,算法工程师,13500
725,新闻学,3.0-3.5,0,无,391 (未通过),一级,无,日常实习,自由职业,部分相关,技术岗,其他,8500
726,法学,3.5+,0,省奖,489 (通过),无,无,毕业实习,传媒机构,完全相关,技术岗,其他,7500
727,人工智能,3.5+,0,无,596 (通过),四级,无,暑期实习,中小型企业,完全相关,技术岗,软件开发工程师,14500
728,自动化,3.0-3.5,0,无,583 (通过),三级,无,毕业实习,行业龙头,完全相关,技术岗,自动化控制师,12000
729,工商管理,3.5+,0,省奖,411 (未通过),二级,无,暑期实习,金融机构,部分相关,非技术岗,HRBP,11500
730,金融学,3.5+,0,校奖,566 (通过),二级,计算机科学,暑期实习,创业公司,完全相关,技术岗,量化研究员,10500
731,自动化,3.5+,0,无,562 (通过),三级,无,日常实习,中小型企业,部分相关,非技术岗,技术顾问,12500
732,人工智能,3.0-3.5,0,无,395 (未通过),三级,无,日常实习,中小型企业,完全相关,技术岗,数据分析师,14000
733,人工智能,3.5+,0,校奖,493 (通过),三级,无,毕业实习,上市科技公司,完全相关,技术岗,软件开发工程师,13500
734,人工智能,3.0-3.5,0,无,473 (通过),四级,无,日常实习,上市科技公司,完全相关,技术岗,数据分析师,13500
735,市场营销,3.0-3.5,0,无,410 (未通过),无,计算机科学,暑期实习,创业公司,完全相关,非技术岗,HRBP,11500
736,软件工程,2.0-3.0,2,无,429 (通过),三级,电子工程,日常实习,上市科技公司,完全相关,非技术岗,技术销售,13500
737,工商管理,3.0-3.5,0,校奖,518 (通过),二级,计算机科学,暑期实习,外资企业,完全相关,非技术岗,供应链管理,10500
738,新闻学,3.5+,0,无,568 (通过),无,无,毕业实习,教育机构,完全相关,技术岗,其他,7500
739,市场营销,3.5+,0,无,443 (通过),二级,无,毕业实习,四大会计师事务所,完全相关,技术岗,财务分析师,11000
740,人工智能,3.0-3.5,0,无,494 (通过),三级,金融学,日常实习,独角兽企业,完全相关,技术岗,系统架构师,13000
741,材料工程,2.0-3.0,0,无,391 (未通过),二级,无,暑期实习,民营企业,部分相关,技术岗,材料研发员,10000
742,计算机科学与技术,3.0-3.5,0,无,407 (未通过),四级,无,暑期实习,中小型企业,部分相关,技术岗,软件开发工程师,14000
743,法学,3.5+,0,省奖,544 (通过),无,无,日常实习,传媒机构,部分相关,技术岗,其他,8500
744,金融学,3.0-3.5,0,无,449 (通过),二级,心理学,日常实习,创业公司,完全相关,非技术岗,HRBP,10500
745,市场营销,2.0-3.0,1,无,345 (未通过),二级,无,暑期实习,四大会计师事务所,完全相关,技术岗,量化研究员,11000
746,通信工程,3.0-3.5,0,无,508 (通过),二级,无,毕业实习,研究院所,部分相关,技术岗,通信工程师,13000
747,自动化,3.0-3.5,0,省奖,523 (通过),三级,无,毕业实习,中小型企业,完全相关,技术岗,电子工程师,11500
748,自动化,3.0-3.5,0,无,516 (通过),二级,无,暑期实习,研究院所,无关,技术岗,电子工程师,13000
749,电子工程,3.5+,0,无,620 (通过),三级,无,日常实习,中小型企业,部分相关,非技术岗,项目协调员,11500
750,信息安全,3.0-3.5,0,无,522 (通过),三级,无,暑期实习,独角兽企业,完全相关,非技术岗,技术销售,13000
751,电子工程,3.5+,0,省奖,575 (通过),三级,无,日常实习,研究院所,完全相关,非技术岗,项目协调员,13500
752,机械工程,3.0-3.5,0,无,436 (通过),二级,计算机科学,日常实习,国企,完全相关,技术岗,材料研发员,9000
753,工商管理,3.0-3.5,0,无,512 (通过),二级,无,毕业实习,创业公司,完全相关,技术岗,财务分析师,10000
754,工商管理,2.0-3.0,0,无,440 (通过),二级,无,毕业实习,金融机构,部分相关,非技术岗,供应链管理,10500
755,新闻学,3.5+,0,省奖,588 (通过),无,无,日常实习,传媒机构,无关,技术岗,其他,8000
756,工商管理,2.0-3.0,1,无,440 (通过),无,无,暑期实习,外资企业,部分相关,非技术岗,市场营销专员,12000
757,会计学,2.0-3.0,2,无,455 (通过),二级,无,暑期实习,创业公司,部分相关,技术岗,量化研究员,10000
758,软件工程,3.0-3.5,0,无,482 (通过),三级,数学,毕业实习,独角兽企业,无关,非技术岗,产品经理,13500
759,机械工程,3.0-3.5,0,无,551 (通过),二级,工商管理,毕业实习,央企,部分相关,技术岗,机械设计师,10000
760,计算机科学与技术,3.5+,0,国奖,533 (通过),三级,无,毕业实习,中小型企业,部分相关,技术岗,系统架构师,14500
761,会计学,3.5+,0,省奖,585 (通过),无,法学,日常实习,外资企业,完全相关,非技术岗,市场营销专员,11000
762,电子工程,2.0-3.0,0,无,409 (未通过),二级,无,暑期实习,研究院所,完全相关,技术岗,自动化控制师,12000
763,法学,2.0-3.0,0,无,456 (通过),一级,无,日常实习,传媒机构,完全相关,技术岗,其他,7500
764,会计学,3.5+,0,省奖,570 (通过),二级,无,暑期实习,外资企业,完全相关,技术岗,量化研究员,10000
765,金融学,3.5+,0,省奖,569 (通过),二级,无,日常实习,创业公司,完全相关,非技术岗,供应链管理,11500
766,自动化,3.0-3.5,0,校奖,497 (通过),三级,无,日常实习,行业龙头,部分相关,技术岗,通信工程师,12000
767,信息安全,3.5+,0,校奖,589 (通过),三级,无,毕业实习,独角兽企业,完全相关,非技术岗,产品经理,14000
768,金融学,2.0-3.0,0,无,480 (通过),二级,无,暑期实习,外资企业,完全相关,非技术岗,HRBP,11000
769,土木工程,3.0-3.5,0,无,470 (通过),二级,无,日常实习,民营企业,完全相关,非技术岗,质量检测员,10000
770,计算机科学与技术,3.5+,0,校奖,571 (通过),四级,无,日常实习,独角兽企业,完全相关,非技术岗,技术销售,14000
771,英语,2.0-3.0,1,无,361 (未通过),无,无,毕业实习,事业单位,完全相关,技术岗,其他,7500
772,土木工程,3.0-3.5,0,无,495 (通过),二级,计算机科学,日常实习,民营企业,部分相关,非技术岗,生产主管,10000
773,自动化,3.0-3.5,0,无,535 (通过),三级,无,暑期实习,央企,完全相关,非技术岗,项目协调员,11500
774,人工智能,2.0-3.0,0,无,300 (未通过),三级,无,暑期实习,独角兽企业,完全相关,非技术岗,技术销售,14000
775,通信工程,3.5+,0,省奖,637 (通过),三级,无,日常实习,研究院所,完全相关,非技术岗,技术顾问,11500
776,人工智能,3.0-3.5,0,无,426 (通过),三级,无,毕业实习,中小型企业,部分相关,技术岗,系统架构师,14000
777,会计学,3.5+,0,校奖,683 (通过),二级,无,毕业实习,外资企业,无关,技术岗,财务分析师,12500
778,计算机科学与技术,3.0-3.5,0,无,392 (未通过),三级,无,毕业实习,中小型企业,部分相关,非技术岗,IT项目经理,13500
779,计算机科学与技术,3.5+,0,校奖,576 (通过),四级,无,日常实习,中小型企业,完全相关,非技术岗,IT项目经理,14000
780,法学,3.5+,0,无,669 (通过),无,经济学,毕业实习,事业单位,完全相关,技术岗,其他,8000
781,人工智能,3.0-3.5,0,无,530 (通过),三级,无,日常实习,上市科技公司,完全相关,非技术岗,技术销售,12500
782,电子工程,2.0-3.0,0,无,483 (通过),三级,无,日常实习,中小型企业,完全相关,技术岗,通信工程师,11000
783,计算机科学与技术,3.5+,0,无,546 (通过),三级,电子工程,日常实习,中小型企业,部分相关,非技术岗,IT项目经理,13000
784,自动化,2.0-3.0,0,无,406 (未通过),二级,无,暑期实习,央企,完全相关,技术岗,通信工程师,11500
785,软件工程,2.0-3.0,1,无,409 (未通过),三级,无,毕业实习,上市科技公司,完全相关,非技术岗,产品经理,14500
786,人工智能,3.0-3.5,0,无,525 (通过),三级,无,日常实习,独角兽企业,部分相关,技术岗,软件开发工程师,14000
787,土木工程,3.5+,0,校奖,710 (通过),二级,工商管理,暑期实习,国企,完全相关,非技术岗,质量检测员,10000
788,市场营销,2.0-3.0,0,无,372 (未通过),二级,心理学,日常实习,创业公司,无关,非技术岗,供应链管理,10500
789,信息安全,3.5+,0,国奖,463 (通过),三级,无,毕业实习,独角兽企业,完全相关,技术岗,数据分析师,15500
790,会计学,3.0-3.5,0,无,477 (通过),无,法学,暑期实习,外资企业,完全相关,技术岗,量化研究员,10500
791,电子工程,3.0-3.5,0,无,407 (未通过),三级,无,毕业实习,研究院所,完全相关,技术岗,自动化控制师,12000
792,金融学,2.0-3.0,0,无,333 (未通过),二级,无,暑期实习,创业公司,完全相关,技术岗,量化研究员,11500
793,自动化,3.0-3.5,0,校奖,525 (通过),二级,无,暑期实习,行业龙头,部分相关,技术岗,电子工程师,11000
794,工商管理,3.0-3.5,0,无,473 (通过),无,法学,毕业实习,金融机构,无关,技术岗,量化研究员,11000
795,法学,3.0-3.5,0,无,534 (通过),无,新媒体,日常实习,传媒机构,无关,技术岗,其他,7500
796,电子工程,3.5+,0,省奖,606 (通过),三级,无,暑期实习,中小型企业,完全相关,技术岗,通信工程师,11500
797,英语,3.5+,0,校奖,562 (通过),无,无,日常实习,传媒机构,完全相关,非技术岗,行政助理,7000
798,通信工程,3.5+,0,无,526 (通过),二级,无,日常实习,中小型企业,完全相关,技术岗,通信工程师,12500
799,工商管理,3.5+,0,国奖,527 (通过),二级,无,日常实习,金融机构,完全相关,技术岗,财务分析师,11500
800,机械工程,2.0-3.0,0,无,432 (通过),二级,无,日常实习,央企,完全相关,技术岗,材料研发员,10500
801,材料工程,3.0-3.5,0,无,468 (通过),二级,计算机科学,暑期实习,民营企业,完全相关,技术岗,结构工程师,10500
802,土木工程,2.0-3.0,0,无,384 (未通过),三级,无,暑期实习,国企,无关,技术岗,结构工程师,10500
803,会计学,2.0-3.0,2,无,356 (未通过),无,无,毕业实习,创业公司,部分相关,技术岗,财务分析师,10500
804,土木工程,2.0-3.0,1,无,465 (通过),三级,无,日常实习,国企,完全相关,技术岗,材料研发员,10000
805,计算机科学与技术,2.0-3.0,1,无,325 (未通过),四级,无,暑期实习,上市科技公司,完全相关,技术岗,软件开发工程师,13000
806,软件工程,2.0-3.0,0,无,379 (未通过),三级,无,毕业实习,独角兽企业,部分相关,非技术岗,技术销售,14500
807,机械工程,3.0-3.5,0,无,546 (通过),二级,无,暑期实习,国企,完全相关,非技术岗,质量检测员,10500
808,人工智能,3.5+,0,国奖,548 (通过),四级,无,日常实习,中小型企业,完全相关,技术岗,系统架构师,12500
809,新闻学,2.0-3.0,1,无,509 (通过),无,无,毕业实习,事业单位,完全相关,技术岗,其他,7500
810,材料工程,3.5+,0,校奖,598 (通过),二级,无,暑期实习,民营企业,完全相关,技术岗,材料研发员,10000
811,人工智能,2.0-3.0,0,无,449 (通过),三级,金融学,暑期实习,独角兽企业,部分相关,技术岗,软件开发工程师,13500
812,新闻学,2.0-3.0,1,无,440 (通过),无,新媒体,毕业实习,事业单位,部分相关,非技术岗,内容运营,7500
813,计算机科学与技术,2.0-3.0,0,无,343 (未通过),四级,无,暑期实习,独角兽企业,无关,技术岗,软件开发工程师,13500
814,通信工程,3.0-3.5,0,无,473 (通过),三级,无,日常实习,研究院所,完全相关,技术岗,通信工程师,12000
815,金融学,3.0-3.5,0,无,451 (通过),二级,无,日常实习,四大会计师事务所,部分相关,非技术岗,HRBP,10000
816,软件工程,3.0-3.5,0,无,499 (通过),四级,无,日常实习,中小型企业,完全相关,技术岗,数据分析师,13500
817,信息安全,3.0-3.5,0,无,512 (通过),三级,无,暑期实习,中小型企业,部分相关,非技术岗,IT项目经理,13000
818,会计学,2.0-3.0,0,无,525 (通过),二级,无,暑期实习,外资企业,部分相关,技术岗,财务分析师,11000
819,市场营销,3.0-3.5,0,无,430 (通过),二级,无,毕业实习,四大会计师事务所,完全相关,非技术岗,HRBP,10000
820,汉语言文学,2.0-3.0,0,无,328 (未通过),一级,无,日常实习,教育机构,完全相关,非技术岗,行政助理,8000
821,信息安全,3.0-3.5,0,无,522 (通过),三级,电子工程,暑期实习,独角兽企业,无关,技术岗,软件开发工程师,13500
822,法学,2.0-3.0,3,无,309 (未通过),无,无,日常实习,教育机构,完全相关,非技术岗,教育培训,8000
823,新闻学,2.0-3.0,1,无,338 (未通过),一级,无,暑期实习,事业单位,完全相关,技术岗,其他,8000
824,信息安全,3.0-3.5,0,无,493 (通过),三级,数学,毕业实习,独角兽企业,完全相关,非技术岗,IT项目经理,14000
825,工商管理,3.5+,0,省奖,617 (通过),二级,心理学,日常实习,四大会计师事务所,完全相关,非技术岗,HRBP,11000
826,软件工程,3.0-3.5,0,无,497 (通过),四级,无,日常实习,上市科技公司,完全相关,技术岗,软件开发工程师,14000
827,计算机科学与技术,2.0-3.0,0,无,445 (通过),三级,无,日常实习,上市科技公司,无关,技术岗,系统架构师,14000
828,计算机科学与技术,3.5+,0,省奖,594 (通过),三级,无,暑期实习,中小型企业,无关,非技术岗,技术销售,15000
829,软件工程,2.0-3.0,0,无,399 (未通过),三级,无,毕业实习,独角兽企业,部分相关,非技术岗,IT项目经理,13500
830,土木工程,3.0-3.5,0,无,457 (通过),二级,无,暑期实习,央企,无关,非技术岗,生产主管,10500
831,会计学,3.0-3.5,0,无,439 (通过),二级,无,日常实习,四大会计师事务所,完全相关,技术岗,财务分析师,11500
832,自动化,2.0-3.0,0,无,410 (未通过),三级,无,日常实习,研究院所,完全相关,技术岗,电子工程师,12000
833,市场营销,3.0-3.5,0,无,441 (通过),二级,无,毕业实习,四大会计师事务所,部分相关,技术岗,量化研究员,11000
